Id,Genus,Species,Split,Genus_Name,Species_Name
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-005988_03m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-005988_01m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-005988_04m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-005988_02m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-007512_01m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-007512_02m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-005847_03m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-005847_01m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-005847_05m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-005847_04m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-005847_02m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000659_02m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000659_04m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000659_03m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000659_01m.jpg,0,0,Train,aedes,aedes_aegypti
/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-005966_03m.jpg,0,0,Train,aedes,aedes_aegypti
